"","detectorid","highwayid","enabledflag","locationtext","detectortype","detectorclass","detectortitle","detectorstatus","lanenumber","stationid","rampid","controllerid","end_date","start_date","milepost","agency_lane","atms_id"
"1596",3374,8,1,"I-84 WB @ Halsey Ramp ML3",8,1,"I-84 WB @ Halsey Ramp ML3",0,3,3132,3132,81,2014-11-18 13:14:00,2004-01-01 00:00:00,4.25,3,3374
"1597",3214,8,1,"I-84 WB @ 82nd ML1",8,1,"I-84 WB @ 82nd ML1",0,1,3134,3134,83,2014-11-18 10:00:40,2004-01-01 00:00:00,5.03,1,3214
"1598",3215,8,1,"I-84 WB @ 82nd ML2",8,1,"I-84 WB @ 82nd ML2",0,2,3134,3134,83,2014-11-18 10:00:40,2004-01-01 00:00:00,5.03,2,3215
"1599",3216,8,1,"I-84 WB @ 82nd ML3",8,1,"I-84 WB @ 82nd ML3",0,3,3134,3134,83,2014-11-18 10:00:40,2004-01-01 00:00:00,5.03,3,3216
"1600",3258,8,1,"I-84 WB @ Halsey ML1",8,1,"I-84 WB @ Halsey ML1",0,1,3136,3136,85,2014-12-02 15:52:00,2004-01-01 00:00:00,5.82,1,3258
"1601",3259,8,1,"I-84 WB @ Halsey ML2",8,1,"I-84 WB @ Halsey ML2",0,2,3136,3136,85,2014-12-02 15:52:00,2004-01-01 00:00:00,5.82,2,3259
"1602",3263,8,1,"I-84 WB @ 102nd ML1",8,1,"I-84 WB @ 102nd ML1",0,1,3138,3138,87,2014-11-24 09:27:20,2004-01-01 00:00:00,6.7,1,3263
"1603",3264,8,1,"I-84 WB @ 102nd ML2",8,1,"I-84WB @ 102nd ML2",0,2,3138,3138,87,2014-11-24 09:27:20,2004-01-01 00:00:00,6.7,2,3264
"1604",3435,8,1,"I-84 WB @ 102nd ML3",8,1,"I-84 WB @ 102nd ML3",0,3,3138,3138,87,2014-11-24 09:27:20,2004-01-01 00:00:00,6.7,3,3435
"1605",3230,7,1,"I-84 EB @ 181st ML2",8,1,"I-84 EB @ 181st ML2",30,2,3145,3145,95,2014-09-01 00:00:00,2004-01-01 00:00:00,13.04,2,3230
"1606",3231,7,1,"I-84 EB @ 181st ML3",8,1,"I-84 EB @ 181st ML3",30,3,3145,3145,95,2014-09-01 00:00:00,2004-01-01 00:00:00,13.04,3,3231
"1607",3232,8,1,"I-84 WB @ 181st ML1",8,1,"I-84 WB @ 181st ML1",30,1,3146,3146,95,2014-09-01 00:00:00,2004-01-01 00:00:00,13.04,1,3232
"1608",3233,8,1,"I-84 WB @ 181st ML2",8,1,"I-84 WB @ 181st ML2",30,2,3146,3146,95,2014-09-01 00:00:00,2004-01-01 00:00:00,13.04,2,3233
"1609",3234,8,1,"I-84 WB @ 181st ML3",8,1,"I-84 WB @ 181st ML3",30,3,3146,3146,95,2014-09-01 00:00:00,2004-01-01 00:00:00,13.04,3,3234
"1610",3236,7,1,"I-84 EB @ 207th ML1",8,1,"I-84 EB @ 207th ML1",30,1,3147,3147,97,2014-09-01 00:00:00,2004-01-01 00:00:00,14.4,1,3236
"1611",3237,7,1,"I-84 EB @ 207th ML2",8,1,"I-84 EB @ 207th ML2",30,2,3147,3147,97,2014-09-01 00:00:00,2004-01-01 00:00:00,14.4,2,3237
"1612",3238,7,1,"I-84 EB @ 207th ML3",8,1,"I-84 EB @ 207th ML3",30,3,3147,3147,97,2014-09-01 00:00:00,2004-01-01 00:00:00,14.4,3,3238
"1613",3239,8,1,"I-84 WB @ 207th ML1",8,1,"I-84 WB @ 207th ML1",30,1,3148,3148,97,2014-09-01 00:00:00,2004-01-01 00:00:00,14.4,1,3239
"1614",3240,8,1,"I-84 WB @ 207th ML2",8,1,"I-84 WB @ 207th ML2",30,2,3148,3148,97,2014-09-01 00:00:00,2004-01-01 00:00:00,14.4,2,3240
"1615",3241,8,1,"I-84 WB @ 207th ML3",8,1,"I-84 WB @ 207th ML3",30,3,3148,3148,97,2014-09-01 00:00:00,2004-01-01 00:00:00,14.4,3,3241
"1616",3243,7,1,"I-84EB @ 223rd ML1",8,1,"I-84 EB @ 223rd ML1",30,1,3149,3149,99,2014-09-01 00:00:00,2004-01-01 00:00:00,15.17,1,3243
"1617",3244,7,1,"I-84 EB @ 223rd ML2",8,1,"I-84 EB @ 223rd ML2",30,2,3149,3149,99,2014-09-01 00:00:00,2004-01-01 00:00:00,15.17,2,3244
"1618",3265,7,1,"I-84 EB @ 122nd ML1",8,1,"I-84 EB @ 122nd ML1",30,1,3139,3139,89,2014-09-01 00:00:00,2004-01-01 00:00:00,10.04,1,3265
