Location,Reading,Timestamp,,,,,,
,53,09:48:11,,,,,,
,58,09:48:25,,,,,,
,53,09:48:33,,,,,,
,63,09:48:44,,,,,,
,55,09:48:54,,,,,,
,52,09:48:59,,,,,,
,52,09:49:08,,,,,,
,55,09:49:21,,,,,,
,54,09:49:27,,,,,,
,51,09:49:30,,,,,,
,52,09:49:41,,,,,,
,50,09:49:51,,,,,,
,52,09:49:54,,,,,,
,49,09:49:57,,,,,,
,51,09:50:00,,,,,,
,51,09:50:02,,,,,,
,51,09:50:03,,,,,,
,52,09:50:05,,,,,,
,55,09:50:07,,,,,,
,59,09:50:11,,,,,,
,52,09:50:29,,,,,,
,51,09:50:30,,,,,,
,50,09:50:32,,,,,,
,49,09:50:34,,,,,,
,54,09:50:40,,,,,,
,54,09:50:46,,,,,,
,60,09:51:05,,,,,,
,55,09:51:13,,,,,,
,58,09:51:15,,,,,,
,57,09:51:19,,,,,,
,52,09:51:28,,,,,,
,48,09:51:35,,,,,,
,50,09:51:37,,,,,,
,45,09:51:38,,,,,,
,55,09:51:47,,,,,,
,54,09:51:50,,,,,,
,54,09:51:52,,,,,,
,53,09:52:02,,,,,,
,54,09:52:02,,,,,,
,51,09:52:06,,,,,,
,52,09:52:08,,,,,,
,53,09:52:11,,,,,,
,53,09:52:19,,,,,,
,58,09:52:24,,,,,,
,56,09:52:27,,,,,,
,56,09:52:31,,,,,,
,50,09:52:39,,,,,,
,47,09:52:42,,,,,,
,46,09:52:46,,,,,,
,47,09:52:48,,,,,,
,48,09:52:52,,,,,,
,50,09:52:55,,,,,,
,53,09:52:58,,,,,,
,51,09:52:59,,,,,,
,50,09:53:02,,,,,,
,50,09:53:05,,,,,,
,58,09:53:07,,,,,,
,54,09:53:16,,,,,,
,53,09:53:19,,,,,,
,51,09:53:21,,,,,,
,52,09:53:28,,,,,,
,56,09:53:33,,,,,,
,56,09:53:35,,,,,,
,53,09:53:37,,,,,,
,57,09:53:43,,,,,,
,54,09:53:54,,,,,,
,53,09:53:58,,,,,,
,53,09:53:59,,,,,,
,53,09:54:01,,,,,,
,51,09:54:03,,,,,,
,52,09:54:04,,,,,,
,58,09:54:11,,,,,,
,60,09:54:17,,,,,,
,52,09:54:35,,,,,,
,50,09:54:39,,,,,,
,50,09:54:44,,,,,,
,53,09:54:46,,,,,,
,55,09:54:49,,,,,,
,53,09:54:52,,,,,,
,50,09:54:59,,,,,,
,50,09:55:01,,,,,,
,66,09:55:10,,,,,,
,64,09:55:12,,,,,,
,46,09:55:27,,,,,,
,48,09:55:31,,,,,,
,51,09:55:34,,,,,,
,53,09:55:36,,,,,,
,50,09:55:47,,,,,,
,54,09:55:55,,,,,,
,53,09:56:00,,,,,,
,52,09:56:02,,,,,,
,65,09:56:09,,,,,,
,51,09:56:21,,,,,,
,52,09:56:24,,,,,,
,55,09:56:26,,,,,,
,50,09:56:33,,,,,,
,57,09:56:41,,,,,,
,54,09:56:56,,,,,,
,54,09:56:59,,,,,,
,53,09:57:07,,,,,,
,50,09:57:09,,,,,,
,61,09:57:11,,,,,,
,55,09:57:20,,,,,,
,50,09:57:25,,,,,,
,63,09:57:34,,,,,,
,56,09:57:49,,,,,,
,62,09:57:53,,,,,,
,59,09:58:04,,,,,,
,48,09:58:16,,,,,,
,49,09:58:20,,,,,,
,46,09:58:22,,,,,,
,55,09:58:30,,,,,,
,55,09:58:54,,,,,,
,56,09:58:57,,,,,,
,50,09:59:02,,,,,,
,50,09:59:03,,,,,,
,54,09:59:07,,,,,,
,56,09:59:09,,,,,,
,54,09:59:15,,,,,,
,53,09:59:19,,,,,,
,57,09:59:27,,,,,,
,50,09:59:38,,,,,,
,54,09:59:45,,,,,,
,51,09:59:49,,,,,,
,48,09:59:52,,,,,,
,45,09:59:57,,,,,,
,51,09:59:59,,,,,,
,58,10:00:05,,,,,,
,55,10:00:09,,,,,,
,61,10:00:16,,,,,,
,57,10:00:19,,,,,,
,54,10:00:24,,,,,,
,52,10:00:31,,,,,,
,53,10:00:48,,,,,,
,51,10:00:50,,,,,,
,49,10:00:54,,,,,,
,56,10:01:01,,,,,,
,58,10:01:22,,,,,,
,47,10:01:33,,,,,,
,51,10:01:39,,,,,,
,49,10:01:47,,,,,,
,50,10:01:49,,,,,,
,50,10:01:50,,,,,,
,50,10:01:53,,,,,,
,53,10:02:10,,,,,,
,50,10:02:12,,,,,,
,51,10:02:13,,,,,,
,59,10:02:22,,,,,,
,54,10:02:29,,,,,,
,53,10:02:32,,,,,,
,55,10:02:39,,,,,,
,68,10:02:47,,,,,,
,56,10:03:05,,,,,,
,55,10:03:08,,,,,,
,61,10:03:17,,,,,,
,41,10:03:24,,,,,,
,38,10:03:29,,,,,,
,38,10:03:31,,,,,,
,39,10:03:33,,,,,,
,39,10:03:35,,,,,,
,41,10:03:37,,,,,,
,43,10:03:39,,,,,,
,42,10:03:40,,,,,,
,44,10:03:44,,,,,,
,46,10:03:46,,,,,,
,53,10:03:50,,,,,,
,55,10:03:58,,,,,,
,55,10:04:04,,,,,,
,47,10:04:26,,,,,,
,59,10:04:33,,,,,,
,54,10:04:36,,,,,,
,64,10:04:45,,,,,,
,51,10:04:47,,,,,,
,49,10:04:50,,,,,,
,50,10:04:53,,,,,,
,50,10:04:55,,,,,,
,52,10:04:59,,,,,,
,54,10:05:02,,,,,,
,53,10:05:04,,,,,,
,51,10:05:08,,,,,,
,52,10:05:11,,,,,,
,60,10:05:14,,,,,,
,54,10:05:17,,,,,,
,51,10:05:21,,,,,,
,46,10:05:27,,,,,,
,45,10:05:32,,,,,,
,50,10:05:36,,,,,,
,50,10:05:40,,,,,,
,49,10:05:42,,,,,,
,51,10:05:44,,,,,,
,52,10:05:47,,,,,,
,53,10:05:52,,,,,,
,49,10:05:55,,,,,,
,47,10:05:56,,,,,,
,60,10:06:13,,,,,,
,57,10:06:16,,,,,,
,52,10:06:27,,,,,,
,50,10:06:45,,,,,,
,52,10:06:52,,,,,,
,50,10:06:59,,,,,,
,54,10:07:07,,,,,,
,51,10:07:27,,,,,,
,49,10:07:28,,,,,,
,50,10:07:30,,,,,,
,47,10:07:31,,,,,,
,50,10:07:33,,,,,,
,52,10:07:39,,,,,,
,55,10:07:41,,,,,,
,63,10:07:49,,,,,,
,58,10:08:13,,,,,,
,47,10:08:21,,,,,,
,45,10:08:24,,,,,,
,52,10:08:39,,,,,,
,51,10:08:42,,,,,,
,57,10:08:46,,,,,,
,58,10:08:55,,,,,,
,59,10:08:56,,,,,,
,57,10:08:57,,,,,,
,52,10:08:58,,,,,,
,54,10:09:02,,,,,,
,51,10:09:04,,,,,,
,56,10:09:11,,,,,,
,50,10:09:17,,,,,,
,51,10:09:20,,,,,,
,53,10:09:22,,,,,,
,48,10:09:24,,,,,,
,53,10:09:28,,,,,,
,53,10:09:33,,,,,,
,51,10:09:53,,,,,,
,48,10:09:54,,,,,,
,49,10:09:57,,,,,,
,46,10:09:59,,,,,,
,50,10:10:03,,,,,,
,54,10:10:05,,,,,,
,52,10:10:15,,,,,,
,50,10:10:20,,,,,,
,49,10:10:29,,,,,,
,47,10:10:30,,,,,,
,47,10:10:32,,,,,,
,47,10:10:33,,,,,,
,53,10:10:38,,,,,,
,51,10:10:41,,,,,,
,50,10:11:15,,,,,,
,50,10:11:17,,,,,,
,48,10:11:21,,,,,,
,55,10:11:24,,,,,,
,52,10:11:26,,,,,,
,57,10:11:34,,,,,,
,56,10:11:37,,,,,,
,59,10:11:43,,,,,,
,55,10:11:45,,,,,,
,60,10:11:50,,,,,,
,57,10:11:52,,,,,,
,57,10:12:02,,,,,,
,56,10:12:05,,,,,,
,54,10:12:09,,,,,,
,48,10:12:22,,,,,,
,53,10:12:25,,,,,,
,53,10:12:28,,,,,,
,52,10:12:29,,,,,,
,55,10:12:33,,,,,,
,54,10:12:41,,,,,,
,47,10:12:43,,,,,,
,49,10:12:45,,,,,,
,51,10:12:55,,,,,,
,61,10:13:07,,,,,,
,57,10:13:12,,,,,,
,51,10:13:20,,,,,,
,46,10:13:26,,,,,,
,55,10:13:32,,,,,,
,52,10:13:37,,,,,,
,51,10:13:40,,,,,,
,50,10:13:44,,,,,,
,57,10:13:49,,,,,,
,58,10:13:54,,,,,,
,54,10:14:11,,,,,,
,54,10:14:18,,,,,,
,57,10:14:31,,,,,,
,52,10:14:34,,,,,,
,59,10:14:43,,,,,,
,50,10:14:45,,,,,,
,52,10:14:58,,,,,,
,55,10:15:01,,,,,,
,51,10:15:02,,,,,,
,55,10:15:05,,,,,,
,62,10:15:22,,,,,,
,53,10:15:27,,,,,,
,55,10:15:37,,,,,,
,57,10:15:43,,,,,,
,54,10:15:51,,,,,,
,53,10:15:54,,,,,,
,48,10:16:03,,,,,,
,46,10:16:07,,,,,,
,42,10:16:10,,,,,,
,48,10:16:14,,,,,,
,50,10:16:24,,,,,,
,52,10:16:31,,,,,,
,50,10:16:35,,,,,,
,54,10:16:37,,,,,,
,56,10:16:39,,,,,,
,52,10:16:46,,,,,,
,54,10:16:49,,,,,,
,63,10:16:52,,,,,,
Spring Garden NB Lane 1,62,10:22:13,,,,,,
,66,10:22:15,,,,,,
,63,10:22:18,,,,,,
,62,10:22:20,,,,,,
,64,10:22:23,,,,,,
,59,10:22:25,,,,,,
,68,10:22:30,,,,,,
,63,10:22:34,,,,,,
,64,10:22:38,,,,,,
,59,10:22:40,,,,,,
,61,10:22:43,,,,,,
,63,10:22:46,,,,,,
,67,10:22:50,,,,,,
,66,10:22:57,,,,,,
,72,10:23:04,,,,,,
,63,10:23:06,,,,,,
,66,10:23:15,,,,,,
,70,10:23:22,,,,,,
,64,10:23:23,,,,,,
,65,10:23:27,,,,,,
,72,10:23:29,,,,,,
,66,10:23:33,,,,,,
,66,10:23:49,,,,,,
,65,10:23:54,,,,,,
,64,10:23:57,,,,,,
,71,10:24:08,,,,,,
,64,10:24:14,,,,,,
,60,10:24:15,,,,,,
,60,10:24:17,,,,,,
,61,10:24:20,,,,,,
,59,10:24:23,,,,,,
,64,10:24:30,,,,,,
,64,10:24:32,,,,,,
,61,10:24:41,,,,,,
,61,10:24:45,,,,,,
,66,10:24:59,,,,,,
,66,10:25:04,,,,,,
,65,10:25:07,,,,,,
,63,10:25:11,,,,,,
,61,10:25:14,,,,,,
,61,10:25:16,,,,,,
,64,10:25:20,,,,,,
,66,10:25:23,,,,,,
,61,10:25:25,,,,,,
,60,10:25:27,,,,,,
,64,10:25:40,,,,,,
,62,10:25:49,,,,,,
,64,10:25:50,,,,,,
,67,10:25:56,,,,,,
,64,10:25:59,,,,,,
,70,10:26:03,,,,,,
,67,10:26:06,,,,,,
,65,10:26:12,,,,,,
,70,10:26:16,,,,,,
,64,10:26:19,,,,,,
,67,10:26:29,,,,,,
,70,10:26:34,,,,,,
