Location,Reading,Timestamp,,
,54,10:20:40,,
,52,10:20:42,,
,52,10:20:44,,
,49,10:20:48,,
,55,10:20:50,,
,56,10:20:53,,
,56,10:20:54,,
,62,10:21:00,,
,60,10:21:03,,
,55,10:21:07,,
,62,10:21:09,,
,54,10:21:11,,
,54,10:21:14,,
,56,10:21:15,,
,52,10:21:22,,
,50,10:21:25,,
,52,10:21:26,,
,48,10:21:29,,
,48,10:21:31,,
,46,10:21:33,,
,48,10:21:35,,
,47,10:21:40,,
,58,10:21:47,,
,60,10:21:49,,
,60,10:21:50,,
,60,10:21:53,,
,61,10:21:56,,
,61,10:21:57,,
,56,10:22:04,,
,54,10:22:07,,
,58,10:22:10,,
,57,10:22:12,,
,57,10:22:14,,
,57,10:22:16,,
,56,10:22:18,,
,55,10:22:20,,
,57,10:22:23,,
,57,10:22:30,,
,58,10:22:31,,
,58,10:22:33,,
,59,10:22:35,,
,63,10:22:43,,
,64,10:22:45,,
,55,10:22:48,,
,54,10:22:56,,
,63,10:23:02,,
,56,10:23:05,,
,50,10:23:07,,
,51,10:23:09,,
,54,10:23:11,,
,56,10:23:13,,
,53,10:23:15,,
,58,10:23:17,,
,55,10:23:20,,
,57,10:23:22,,
,57,10:23:26,,
,55,10:23:28,,
,53,10:23:30,,
,53,10:23:35,,
,55,10:23:36,,
,56,10:23:37,,
,59,10:23:39,,
,53,10:23:47,,
,52,10:23:51,,
,54,10:23:52,,
,56,10:23:56,,
,55,10:24:01,,
,49,10:24:03,,
,53,10:24:05,,
,55,10:24:08,,
,52,10:24:12,,
,54,10:24:14,,
,51,10:24:16,,
,50,10:24:19,,
,51,10:24:22,,
,55,10:24:23,,
,63,10:24:26,,
,55,10:24:30,,
,55,10:24:32,,
,61,10:24:36,,
,59,10:24:39,,
,58,10:24:41,,
,58,10:24:43,,
,60,10:24:44,,
,64,10:24:47,,
,63,10:24:49,,
,58,10:24:55,,
,57,10:24:58,,
,56,10:24:59,,
,57,10:25:02,,
,64,10:25:04,,
,58,10:25:06,,
,59,10:25:07,,
,59,10:25:09,,
,60,10:25:10,,
,59,10:25:12,,
,62,10:25:15,,
,57,10:25:18,,
,62,10:25:20,,
,63,10:25:23,,
,60,10:25:26,,
,60,10:25:29,,
,60,10:25:45,,
,59,10:25:47,,
,62,10:25:51,,
,64,10:25:54,,
,58,10:25:57,,
,55,10:25:59,,
,62,10:26:02,,
,66,10:26:05,,
,60,10:26:07,,
,66,10:26:09,,
,55,10:26:15,,
,55,10:26:17,,
,55,10:26:19,,
,58,10:26:21,,
,60,10:26:25,,
,59,10:26:26,,
,57,10:26:28,,
,58,10:26:31,,
,57,10:26:33,,
,67,10:26:37,,
,64,10:26:41,,
,55,10:26:45,,
,53,10:26:47,,
,57,10:26:51,,
,57,10:27:00,,
,58,10:27:01,,
,60,10:27:05,,
,60,10:27:10,,
,60,10:27:11,,
,60,10:27:14,,
,59,10:27:17,,
,60,10:27:20,,
,68,10:27:22,,
,60,10:27:25,,
,63,10:27:35,,
,60,10:27:43,,
,58,10:27:45,,
,59,10:27:52,,
,55,10:27:56,,
,55,10:27:58,,
,59,10:27:59,,
,60,10:28:02,,
,54,10:28:12,,
,54,10:28:14,,
,55,10:28:15,,
,54,10:28:17,,
,58,10:28:20,,
,56,10:28:23,,
,57,10:28:24,,
,58,10:28:28,,
,60,10:28:30,,
,61,10:28:35,,
,59,10:28:39,,
,57,10:28:41,,
,58,10:28:43,,
,59,10:28:46,,
,59,10:28:48,,
,58,10:28:49,,
,61,10:28:51,,
,61,10:28:52,,
,62,10:28:55,,
,64,10:28:56,,
,64,10:28:57,,
,58,10:29:02,,
,57,10:29:04,,
,55,10:29:11,,
,55,10:29:12,,
,64,10:29:21,,
,58,10:29:23,,
,56,10:29:28,,
,57,10:29:29,,
,56,10:29:31,,
,59,10:29:33,,
,57,10:29:35,,
,61,10:29:42,,
,59,10:29:48,,
,59,10:29:51,,
,56,10:29:52,,
,60,10:29:55,,
,58,10:29:57,,
,57,10:29:59,,
,63,10:30:03,,
,61,10:30:08,,
,58,10:30:15,,
,57,10:30:18,,
,57,10:30:19,,
,57,10:30:24,,
,55,10:30:25,,
,57,10:30:26,,
,57,10:30:28,,
,59,10:30:29,,
,57,10:30:33,,
,57,10:30:35,,
,55,10:30:37,,
,52,10:30:39,,
,53,10:30:41,,
,54,10:30:43,,
,58,10:30:44,,
,58,10:30:46,,
,62,10:30:53,,
,57,10:31:00,,
,59,10:31:02,,
,58,10:31:04,,
,59,10:31:07,,
,59,10:31:09,,
,60,10:31:11,,
,59,10:31:12,,
,63,10:31:14,,
,61,10:31:17,,
,55,10:31:19,,
,56,10:31:21,,
,52,10:31:23,,
,62,10:31:26,,
,63,10:31:27,,
,60,10:31:34,,
,60,10:31:40,,
,63,10:31:50,,
,63,10:31:53,,
,63,10:31:55,,
,63,10:31:57,,
,61,10:32:02,,
,57,10:32:04,,
,62,10:32:11,,
,58,10:32:14,,
,56,10:32:16,,
,57,10:32:19,,
,53,10:32:21,,
,54,10:32:23,,
,55,10:32:24,,
,55,10:32:25,,
,54,10:32:28,,
,58,10:32:29,,
,58,10:32:31,,
,59,10:32:32,,
,57,10:32:36,,
,61,10:32:40,,
,59,10:32:43,,
,62,10:32:48,,
,61,10:32:55,,
,61,10:32:56,,
,60,10:32:58,,
