starttime,traveltime
7/3/15 12:27,537
7/3/15 12:30,1012
7/3/15 12:36,556
7/3/15 12:36,554
7/3/15 12:42,596
7/3/15 13:15,545
7/3/15 13:43,615
7/3/15 13:48,554
7/3/15 14:01,494
7/3/15 14:06,515
7/3/15 14:08,521
7/3/15 14:11,971
7/3/15 14:15,608
7/3/15 14:21,537
7/3/15 14:28,488
7/3/15 15:08,604
7/3/15 15:15,1290
7/3/15 15:15,634
7/3/15 15:17,586
7/3/15 15:27,435
7/3/15 15:30,512
7/3/15 15:33,549
7/3/15 15:38,1010
7/3/15 15:48,436
7/3/15 15:51,453
7/3/15 16:08,482
7/3/15 16:21,904
7/3/15 16:22,488
7/3/15 16:22,1521
7/3/15 16:30,1225
7/3/15 16:31,621
7/3/15 16:43,559
7/3/15 16:43,550
7/3/15 16:44,521
7/3/15 16:44,543
7/3/15 16:44,496
7/3/15 17:00,2482
7/3/15 17:32,831
7/3/15 17:33,477
7/3/15 17:45,575
7/3/15 17:47,511
7/3/15 18:15,539
7/3/15 18:34,524
7/3/15 18:40,744
7/3/15 18:41,489
7/3/15 18:48,473
7/3/15 19:23,1178
7/3/15 19:23,534
7/3/15 19:32,473
7/3/15 19:40,497
7/3/15 20:05,954
7/3/15 20:08,477
7/3/15 20:10,520
7/3/15 20:11,535
7/3/15 20:16,510
7/3/15 20:17,488
7/3/15 20:49,476
7/3/15 21:00,488
7/3/15 21:28,493
7/3/15 21:31,524
7/3/15 21:36,581
7/3/15 21:41,500
7/3/15 21:48,555
7/3/15 21:51,403
7/3/15 22:09,533
7/3/15 22:38,443
7/3/15 22:41,459
7/3/15 23:22,931
7/3/15 23:22,930
7/4/15 2:04,861
7/4/15 2:09,2432
7/4/15 2:09,2230
7/4/15 2:27,463
7/4/15 2:35,439
7/4/15 2:40,618
7/4/15 2:40,416
7/4/15 2:43,398
7/4/15 4:31,467
7/4/15 5:00,418
7/4/15 5:07,2521
7/4/15 5:39,622
7/4/15 7:20,356
7/4/15 7:44,729
7/4/15 8:20,426
7/4/15 8:20,823
7/4/15 9:09,1276
7/4/15 9:22,454
7/4/15 9:45,488
7/4/15 9:47,435
7/4/15 10:02,1735
7/4/15 10:30,507
7/4/15 10:50,532
7/4/15 11:01,454
7/4/15 11:07,424
7/4/15 11:15,457
7/4/15 11:31,822
7/4/15 11:31,536
7/4/15 11:32,511
7/4/15 11:40,413
7/4/15 11:44,427
7/4/15 12:04,666
7/4/15 12:24,512
7/4/15 12:27,489
7/4/15 12:37,515
7/4/15 13:00,1460
7/4/15 13:21,518
7/4/15 13:41,479
7/4/15 13:46,508
7/4/15 14:33,524
7/4/15 14:37,598
7/4/15 14:50,479
7/4/15 14:59,578
7/4/15 15:07,541
7/4/15 15:14,1428
7/4/15 15:15,932
7/4/15 15:16,1132
7/4/15 15:25,604
7/4/15 15:29,522
7/4/15 15:52,428
7/4/15 16:19,492
7/4/15 17:00,472
