detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id
100824,2,1,Rosa Parks (2R014) to SB I-5,8,1,100824/1,1,3,1031,1031,1031,,2015-06-02 15:10:00-07,304.85,1,1277
100862,11,1,Murray (2R365) to EB US 26,8,1,100862/3,1,1,1086,1086,1086,,2015-06-02 15:10:00-07,67.4,3,1650
100861,11,1,Murray (2R365) to EB US 26,8,1,100861/2,1,2,1086,1086,1086,,2015-06-02 15:10:00-07,67.4,2,1651
100863,11,1,Cedar Hills (2R369) to EB US 26,8,1,100863/1,1,3,1087,1087,1087,,2015-06-02 15:10:00-07,68.55,1,1659
100865,11,1,Cedar Hills (2R369) to EB US 26,8,1,100865/3,1,1,1087,1087,1087,,2015-06-02 15:10:00-07,68.55,3,1657
100864,11,1,Cedar Hills (2R369) to EB US 26,8,1,100864/2,1,2,1087,1087,1087,,2015-06-02 15:10:00-07,68.55,2,1658
100874,12,1,Cedar Hills (2R352) to WB US 26,8,1,100874/2,1,2,1094,1094,1094,,2015-06-02 15:10:00-07,68.2,2,1709
100871,12,1,Murray (2R354) to WB US 26,8,1,100871/2,1,2,1095,1095,1095,,2015-06-02 15:10:00-07,67,2,1716
100872,12,1,Murray (2R354) to WB US 26,8,1,100872/3,1,1,1095,1095,1095,,2015-06-02 15:10:00-07,67,3,1715
100870,12,1,Murray (2R354) to WB US 26,8,1,100870/1,1,3,1095,1095,1095,,2015-06-02 15:10:00-07,67,1,1717
100866,12,1,185th (2R337) to WB US 26,8,1,100866/1,1,2,1129,1129,1129,,2015-06-02 15:10:00-07,64.24,1,1880
100867,12,1,185th (2R337) to WB US 26,8,1,100867/2,1,1,1129,1129,1129,,2015-06-02 15:10:00-07,64.24,2,1879
100869,12,1,Bethany (2R356) to WB US 26,8,1,100869/2,1,1,1136,1136,1136,,2015-06-02 15:10:00-07,65.65,2,1920
100868,12,1,Bethany (2R356) to WB US 26,8,1,100868/1,1,2,1136,1136,1136,,2015-06-02 15:10:00-07,65.65,1,1921
100909,3,1,10th (2R378) to NB I-205,8,1,100909/1,20,2,1116,1116,1116,,2014-09-01 00:00:00-07,6.88,1,1807
100910,3,1,10th (2R378) to NB I-205,8,1,100910/2,20,1,1116,1116,1116,,2014-09-01 00:00:00-07,6.88,2,1806
100919,3,1,OR 213/Park Place to I-205 NB,8,1,100919/1,20,3,1144,1144,1144,,2014-09-01 00:00:00-07,10.27,1,1959
