starttime,traveltime
7/4/15 13:37,509
7/4/15 13:42,490
7/4/15 14:02,539
7/4/15 14:21,489
7/4/15 14:37,504
7/4/15 14:49,498
7/4/15 15:05,463
7/4/15 15:08,925
7/4/15 15:16,553
7/4/15 15:18,2421
7/4/15 15:18,566
7/4/15 15:19,621
7/4/15 15:39,507
7/4/15 15:41,528
7/4/15 16:08,503
7/4/15 16:24,457
7/4/15 16:41,513
7/4/15 16:41,508
7/4/15 16:43,486
7/4/15 16:46,514
7/4/15 17:06,493
7/4/15 17:06,933
7/4/15 17:07,508
7/4/15 17:08,467
7/4/15 17:08,532
7/4/15 17:12,578
7/4/15 17:17,422
7/4/15 17:19,952
7/4/15 17:19,663
7/4/15 17:19,761
7/4/15 17:19,452
7/4/15 17:25,451
7/4/15 17:34,429
7/4/15 17:41,435
7/4/15 17:43,487
7/4/15 17:49,459
7/4/15 18:17,429
7/4/15 18:24,489
7/4/15 19:07,508
7/4/15 19:08,618
7/4/15 19:15,472
7/4/15 19:22,480
7/4/15 19:30,664
7/4/15 19:33,470
7/4/15 19:36,467
7/4/15 19:38,549
7/4/15 20:09,354
7/4/15 20:10,1809
7/4/15 20:13,2455
7/4/15 20:13,1609
7/4/15 20:15,2333
7/4/15 20:15,1487
7/4/15 20:24,1010
7/4/15 20:29,1525
7/4/15 20:29,679
7/4/15 20:30,629
7/4/15 20:30,1475
7/4/15 20:31,1404
7/4/15 20:31,558
7/4/15 20:33,456
7/4/15 20:33,1302
7/4/15 20:33,482
7/4/15 20:35,464
7/4/15 20:41,1014
7/4/15 20:47,544
7/4/15 20:49,416
7/4/15 20:50,488
7/4/15 21:07,527
7/4/15 21:08,485
7/4/15 21:19,576
7/4/15 21:25,625
7/4/15 21:39,557
7/4/15 21:42,617
7/4/15 21:49,535
7/4/15 23:04,453
7/5/15 0:02,464
7/5/15 0:20,1308
7/5/15 0:30,1361
7/5/15 0:30,539
7/5/15 0:34,456
7/5/15 0:37,429
7/5/15 4:04,1903
7/5/15 4:29,407
7/5/15 5:00,392
7/5/15 5:14,387
7/5/15 5:52,358
7/5/15 6:12,424
7/5/15 7:27,379
7/5/15 7:31,389
7/5/15 8:11,458
7/5/15 8:36,696
7/5/15 9:00,449
7/5/15 9:11,383
7/5/15 9:11,520
7/5/15 9:25,444
7/5/15 9:41,488
7/5/15 9:43,779
7/5/15 9:43,779
7/5/15 10:02,475
7/5/15 10:02,839
7/5/15 10:07,1132
7/5/15 11:05,479
7/5/15 11:12,438
7/5/15 11:16,448
7/5/15 11:25,1237
7/5/15 11:33,533
7/5/15 11:36,608
7/5/15 12:01,639
7/5/15 12:06,576
7/5/15 12:11,515
7/5/15 12:12,535
7/5/15 12:28,505
7/5/15 12:31,520
7/5/15 12:37,532
7/5/15 12:40,1029
7/5/15 12:42,593
7/5/15 13:00,432
7/5/15 13:02,963
7/5/15 13:04,577
7/5/15 13:10,587
7/5/15 13:14,485
7/5/15 13:15,564
7/5/15 13:19,490
7/5/15 13:24,606
7/5/15 13:24,462
7/5/15 13:29,594
7/5/15 13:38,528
7/5/15 13:43,489
7/5/15 14:14,510
7/5/15 14:14,569
7/5/15 14:16,534
7/5/15 14:29,533
7/5/15 14:32,435
7/5/15 14:35,588
7/5/15 14:40,503
7/5/15 14:44,460
7/5/15 15:10,541
7/5/15 15:26,572
7/5/15 15:44,568
7/5/15 16:06,529
7/5/15 16:08,1552
7/5/15 16:19,462
7/5/15 16:20,492
7/5/15 16:26,507
7/5/15 16:38,569
7/5/15 17:03,823
7/5/15 17:10,546
7/5/15 17:23,499
7/5/15 17:27,519
7/5/15 17:38,553
7/5/15 18:17,782
7/5/15 18:37,1151
7/5/15 19:09,501
7/5/15 19:24,475
7/5/15 20:06,426
7/5/15 20:07,497
7/5/15 20:10,1817
7/5/15 20:20,718
7/5/15 20:24,1333
7/5/15 20:25,551
