starttime,traveltime
7/3/2015 4:43 pm,550
7/3/2015 4:44 pm,521
7/3/2015 4:44 pm,543
7/3/2015 4:44 pm,496
7/3/2015 5:00 pm,2482
7/3/2015 5:32 pm,831
7/3/2015 5:33 pm,477
7/3/2015 5:45 pm,575
7/3/2015 5:47 pm,511
7/3/2015 6:15 pm,539
7/3/2015 6:34 pm,524
7/3/2015 6:40 pm,744
7/3/2015 6:41 pm,489
7/3/2015 6:48 pm,473
7/3/2015 7:23 pm,534
7/3/2015 7:23 pm,1178
7/3/2015 7:32 pm,473
7/3/2015 7:40 pm,497
7/3/2015 8:05 pm,954
7/3/2015 8:08 pm,477
7/3/2015 8:10 pm,520
7/3/2015 8:11 pm,535
7/3/2015 8:16 pm,510
7/3/2015 8:17 pm,488
7/3/2015 8:49 pm,476
7/3/2015 9:00 pm,488
7/3/2015 9:28 pm,493
7/3/2015 9:31 pm,524
7/3/2015 9:36 pm,581
7/3/2015 9:41 pm,500
7/3/2015 9:48 pm,555
7/3/2015 9:51 pm,403
7/3/2015 10:09 pm,533
7/3/2015 10:38 pm,443
7/3/2015 10:41 pm,459
7/3/2015 11:22 pm,931
7/3/2015 11:22 pm,930
7/4/2015 2:04 am,861
7/4/2015 2:09 am,2432
7/4/2015 2:09 am,2230
7/4/2015 2:27 am,463
7/4/2015 2:35 am,439
7/4/2015 2:40 am,618
7/4/2015 2:40 am,416
7/4/2015 2:43 am,398
7/4/2015 4:31 am,467
7/4/2015 5:00 am,418
7/4/2015 5:07 am,2521
7/4/2015 5:39 am,622
7/4/2015 7:20 am,356
7/4/2015 7:44 am,729
7/4/2015 8:20 am,823
7/4/2015 8:20 am,426
7/4/2015 9:09 am,1276
7/4/2015 9:22 am,454
7/4/2015 9:45 am,488
7/4/2015 9:47 am,435
7/4/2015 10:02 am,1735
7/4/2015 10:30 am,507
7/4/2015 10:50 am,532
7/4/2015 11:01 am,454
7/4/2015 11:07 am,424
7/4/2015 11:15 am,457
7/4/2015 11:31 am,536
7/4/2015 11:31 am,822
7/4/2015 11:32 am,511
7/4/2015 11:40 am,413
7/4/2015 11:44 am,427
7/4/2015 12:04 pm,666
7/4/2015 12:24 pm,512
7/4/2015 12:27 pm,489
7/4/2015 12:37 pm,515
7/4/2015 1:00 pm,1460
7/4/2015 1:21 pm,518
7/4/2015 1:41 pm,479
7/4/2015 1:46 pm,508
7/4/2015 2:33 pm,524
7/4/2015 2:37 pm,598
7/4/2015 2:50 pm,479
7/4/2015 2:59 pm,578
7/4/2015 3:07 pm,541
7/4/2015 3:14 pm,1428
7/4/2015 3:15 pm,932
7/4/2015 3:16 pm,1132
7/4/2015 3:25 pm,604
7/4/2015 3:29 pm,522
7/4/2015 3:52 pm,428
7/4/2015 4:19 pm,492
7/4/2015 5:00 pm,472
7/4/2015 5:03 pm,481
7/4/2015 5:11 pm,787
7/4/2015 5:17 pm,466
7/4/2015 5:20 pm,1247
7/4/2015 5:28 pm,1275
7/4/2015 6:03 pm,521
7/4/2015 6:14 pm,468
7/4/2015 6:51 pm,438
7/4/2015 7:00 pm,473
7/4/2015 7:00 pm,470
7/4/2015 7:09 pm,509
7/4/2015 7:25 pm,413
7/4/2015 7:29 pm,386
7/4/2015 7:31 pm,477
7/4/2015 7:44 pm,479
7/4/2015 7:59 pm,461
7/4/2015 8:14 pm,524
7/4/2015 8:23 pm,706
7/4/2015 8:25 pm,467
7/4/2015 8:32 pm,386
7/4/2015 8:40 pm,524
7/4/2015 9:13 pm,501
7/4/2015 9:14 pm,437
7/4/2015 10:07 pm,2433
7/4/2015 10:27 pm,518
7/4/2015 10:32 pm,753
7/4/2015 10:37 pm,513
7/4/2015 10:43 pm,573
7/4/2015 10:45 pm,496
7/4/2015 11:02 pm,654
7/4/2015 11:02 pm,652
7/4/2015 11:03 pm,630
7/4/2015 11:03 pm,619
7/4/2015 11:08 pm,478
7/4/2015 11:14 pm,2341
7/4/2015 11:14 pm,2590
7/4/2015 11:14 pm,566
7/4/2015 11:14 pm,2509
7/4/2015 11:18 pm,604
7/4/2015 11:21 pm,606
7/5/2015 12:09 am,487
7/5/2015 12:16 am,532
7/5/2015 12:18 am,627
7/5/2015 12:34 am,359
7/5/2015 12:42 am,551
7/5/2015 12:42 am,554
7/5/2015 1:29 am,500
7/5/2015 2:45 am,428
7/5/2015 4:41 am,432
7/5/2015 6:29 am,395
7/5/2015 7:50 am,389
7/5/2015 8:07 am,757
7/5/2015 8:19 am,324
7/5/2015 9:20 am,458
7/5/2015 9:36 am,496
7/5/2015 9:49 am,444
7/5/2015 10:02 am,776
7/5/2015 10:02 am,1543
7/5/2015 10:26 am,501
7/5/2015 10:37 am,456
7/5/2015 10:40 am,461
7/5/2015 10:40 am,493
7/5/2015 10:50 am,565
7/5/2015 11:24 am,497
7/5/2015 12:04 pm,499
7/5/2015 12:15 pm,1399
7/5/2015 12:15 pm,2351
7/5/2015 12:18 pm,462
7/5/2015 12:21 pm,1866
7/5/2015 12:22 pm,488
7/5/2015 12:23 pm,481
7/5/2015 12:27 pm,499
7/5/2015 12:31 pm,449
7/5/2015 1:00 pm,496
7/5/2015 1:06 pm,543
7/5/2015 1:09 pm,468
7/5/2015 1:13 pm,665
7/5/2015 1:17 pm,555
7/5/2015 1:23 pm,570
7/5/2015 1:24 pm,558
7/5/2015 1:29 pm,1294
7/5/2015 2:00 pm,1442
7/5/2015 2:01 pm,858
7/5/2015 2:04 pm,975
7/5/2015 2:05 pm,520
7/5/2015 2:06 pm,502
7/5/2015 2:07 pm,1542
7/5/2015 2:11 pm,1068
7/5/2015 2:14 pm,1234
7/5/2015 2:15 pm,509
7/5/2015 2:18 pm,476
7/5/2015 2:25 pm,473
7/5/2015 2:28 pm,456
7/5/2015 2:29 pm,561
7/5/2015 2:32 pm,515
7/5/2015 2:35 pm,547
7/5/2015 2:50 pm,533
7/5/2015 3:06 pm,421
7/5/2015 3:12 pm,485
7/5/2015 3:32 pm,665
7/5/2015 3:39 pm,449
